"FID","IID","Sample_S0","Sample_S1","Sample_S3","Sample_S2","Sample_S4","MAF_M0","MAF_M1","MAF_M2","MAF_M4","Geno_G0","Geno_G2","Geno_G4","LD_L0","LD_L1","LD_L2","LD_L4","Agreement","N_scenarios"
"090330-E01",394,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,2,1,0.928571428571429,15
"090330-E02",395,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,2,1,0.928571428571429,15
"090330-E03",396,2,2,2,5,NA,2,2,2,2,2,2,2,2,2,2,2,0.928571428571429,15
"090209-A02",398,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,1,15
"090415-F05",399,2,2,2,5,NA,2,2,2,2,2,2,2,2,2,2,2,0.928571428571429,15
"090415-F06",400,3,3,3,NA,NA,3,3,3,3,3,3,3,3,3,3,3,1,14
"090415-F07",616,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,1,15
"090415-F09",619,2,2,2,5,NA,2,2,2,2,2,2,2,2,2,2,2,0.928571428571429,15
"090415-F10",621,2,2,2,5,NA,2,2,2,2,2,2,2,2,2,2,2,0.928571428571429,15
"090415-F11",622,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,2,1,0.928571428571429,15
"090414-A06",628,2,2,2,5,NA,2,2,2,2,2,2,2,2,2,2,2,0.928571428571429,15
"090414-A08",635,2,2,2,5,NA,2,2,2,2,2,2,2,2,2,2,2,0.928571428571429,15
"081215-B10",636,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,1,15
"081215-B11",637,5,5,5,3,NA,5,5,5,5,5,5,5,5,5,5,5,0.928571428571429,15
"081215-B12",638,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0.933333333333333,16
"090105-D05",639,4,4,4,4,NA,4,4,4,4,4,4,4,4,4,4,4,1,15
"081215-C01",640,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,2,0.928571428571429,15
"090330-E04",641,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,16
"081215-C02",642,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,1,15
"081215-C03",643,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,1,15
"081215-C04",644,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,1,15
"081215-C5",645,4,4,4,4,NA,4,4,4,4,4,4,4,4,4,4,4,1,15
"081215-C07",647,2,2,2,5,NA,2,2,2,2,2,2,2,2,2,2,2,0.928571428571429,15
"081215-C9",651,5,5,5,NA,NA,5,5,5,5,5,5,5,5,5,5,5,1,14
"090818-A02",12,1,1,1,3,NA,1,1,1,1,1,1,1,1,1,1,2,0.857142857142857,15
"090818-A03",19,5,5,5,NA,NA,5,5,5,5,5,5,5,5,5,5,5,1,14
"090818-A04",30,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,1,15
"090818-A05",36,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,0.933333333333333,16
"090818-A06",52,4,4,4,1,NA,4,4,4,1,4,1,4,4,4,4,4,0.785714285714286,15
"090818-A07",54,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,0.933333333333333,16
"090818-A08",62,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,16
"090818-A09",64,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,16
"090818-A10",91,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,0.933333333333333,16
"090818-A11",104,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,16
"090818-A12",159,3,3,3,NA,NA,3,3,3,3,3,3,3,3,3,3,3,1,14
"090820-B01",169,4,4,4,1,3,4,4,4,1,4,1,4,4,4,4,4,0.733333333333333,16
"090820-B02",170,2,2,2,5,NA,2,2,2,2,2,2,2,2,2,2,2,0.928571428571429,15
"090820-B03",172,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,1,15
"090820-B04",229,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0.933333333333333,16
"090820-B05",245,4,4,4,1,NA,4,4,4,1,4,1,4,4,4,4,4,0.785714285714286,15
"090820-B06",247,4,4,4,1,3,4,4,4,1,4,1,4,4,4,4,4,0.733333333333333,16
"090820-B07",263,4,4,4,1,3,4,4,4,1,4,1,4,4,4,4,4,0.733333333333333,16
"090820-B08",265,4,4,4,NA,NA,4,4,4,1,4,1,4,4,4,4,4,0.846153846153846,14
"090820-B09",281,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,0.933333333333333,16
"090820-B10",284,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,1,15
"090820-B11",292,4,4,4,1,3,4,4,4,1,4,1,4,4,4,4,4,0.733333333333333,16
"090820-B12",294,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,1,15
"090820-C01",295,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,0.933333333333333,16
"090820-C05",620,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,1,15
"090820-C06",623,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,1,15
"090820-C07",624,2,2,2,5,NA,2,2,2,2,2,2,2,2,2,2,2,0.928571428571429,15
"090820-C08",625,2,2,2,5,NA,2,2,2,2,2,2,2,2,2,2,2,0.928571428571429,15
"090820-C09",626,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,1,15
"090820-C10",627,2,2,2,5,1,2,2,2,2,2,2,2,2,2,2,2,0.866666666666667,16
"090820-C11",630,2,2,2,5,NA,2,2,2,2,2,2,2,2,2,2,2,0.928571428571429,15
"090820-C12",632,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,1,14
"090818-D02",634,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,1,15
"@52067200649406102410408632092214",244,4,2,4,NA,NA,4,4,4,2,4,2,2,2,2,2,2,0.384615384615385,14
"@52067200649406102410408632092221",135,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0.933333333333333,16
"@52067200649406102410408632092225",326,5,5,5,NA,NA,5,5,5,5,5,5,5,5,5,5,5,1,14
"@52067200649406102410408632092227",37,2,2,2,5,1,2,2,2,2,2,2,2,2,2,2,2,0.866666666666667,16
"@52067200649406102410408632092231",629,2,2,2,5,1,2,2,2,2,2,2,2,2,2,2,2,0.866666666666667,16
"@52067200649406102410408632092233",342,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0.933333333333333,16
"@52067200649406102410408632092236",319,5,5,5,3,NA,5,5,5,5,5,5,5,5,5,5,5,0.928571428571429,15
"@52067200649406102410408632092240",90,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,1,15
"@52067200649406102410408632092246",327,5,5,5,NA,NA,5,5,5,5,5,5,5,5,5,5,5,1,14
"@52067200649406102410408632092248",322,5,5,5,3,NA,5,5,5,5,5,5,5,5,5,5,5,0.928571428571429,15
"@52067200649406102410408632092250",112,1,1,1,3,NA,1,1,1,5,1,5,1,1,1,1,5,0.714285714285714,15
"@52067200649406102410408632092260",352,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0.933333333333333,16
